Date,Hour,Time,Cell Name,Downtime,TCH Drop rate,TCH Drops,TCH Congestion,SD Congestion,Traffic,Utilization,SS Drops,Qual Drops,TA Drops,Other Drops
19/06/2019,0,19/06/2019 : 0  hours,10041,0,0.24,23,0,0,8,0,9,8,6,0
19/06/2019,0,19/06/2019 : 0  hours,12561,0,0.25,15,0,0,30,0,4,1,3,7
19/06/2019,0,19/06/2019 : 0  hours,26091,0,0.81,11,0,0,29,0,0,4,6,1
19/06/2019,0,19/06/2019 : 0  hours,31141,0,0.85,26,0,0,3,0,8,9,4,5
19/06/2019,0,19/06/2019 : 0  hours,34151,0,0.52,24,0,0,1,0,7,8,6,3
19/06/2019,0,19/06/2019 : 0  hours,31031,0,0.28,8,0,0,17,0,1,1,6,0
19/06/2019,0,19/06/2019 : 0  hours,26111,0,0.41,21,0,0,27,0,5,8,0,8
19/06/2019,0,19/06/2019 : 0  hours,32011,0,0.31,10,0,0,26,0,1,1,0,8
19/06/2019,0,19/06/2019 : 0  hours,11281,0,0.23,17,0,0,24,0,9,3,4,1
19/06/2019,0,19/06/2019 : 0  hours,23141,0,0.91,23,0,0,25,0,2,6,10,5
19/06/2019,0,19/06/2019 : 0  hours,35361,0,0.12,28,0,0,20,0,10,9,3,6
19/06/2019,0,19/06/2019 : 0  hours,20061,0,0.45,26,0,0,2,0,7,10,4,5
19/06/2019,0,19/06/2019 : 0  hours,37151,0,0.55,8,0,0,6,0,0,3,2,3
19/06/2019,0,19/06/2019 : 0  hours,31161,0,0.54,19,0,0,6,0,4,4,8,3
19/06/2019,0,19/06/2019 : 0  hours,21131,0,0.59,15,0,0,12,0,9,4,2,0
19/06/2019,0,19/06/2019 : 0  hours,28361,0,0.72,18,0,0,7,0,0,8,10,0
19/06/2019,0,19/06/2019 : 0  hours,23611,0,0.38,10,0,0,27,0,2,3,3,2
19/06/2019,0,19/06/2019 : 0  hours,32021,0,0.01,21,0,0,13,0,6,7,2,6
19/06/2019,0,19/06/2019 : 0  hours,39241,0,0.16,16,0,0,4,0,9,2,3,2
19/06/2019,0,19/06/2019 : 0  hours,18741,0,0.4,28,0,0,2,0,10,8,2,8
19/06/2019,0,19/06/2019 : 0  hours,30051,0,0.49,21,0,0,29,0,3,6,10,2
19/06/2019,0,19/06/2019 : 0  hours,12461,0,0.44,27,0,0,17,0,9,5,3,10
19/06/2019,0,19/06/2019 : 0  hours,19561,0,0.35,14,0,0,14,0,7,2,3,2
19/06/2019,0,19/06/2019 : 0  hours,39121,0,0.03,20,0,0,23,0,9,6,0,5
19/06/2019,0,19/06/2019 : 0  hours,10042,0,0.8,6,0,0,4,0,2,4,0,0
19/06/2019,0,19/06/2019 : 0  hours,12562,0,0.67,18,0,0,13,0,0,7,6,5
