Date,Hour,Time,Cell Name,Downtime,TCH Drop rate,TCH Drops,TCH Congestion,SD Congestion,Traffic,Utilization,SS Drops,Qual Drops,TA Drops,Other Drops
22/06/2019,0,22/06/2019 : 0  hours,10041,0,0,a,0,0,0,0,22,85,2,91
22/06/2019,0,22/06/2019 : 0  hours,12561,2000,5.2,135,0,0,0,0,39,70,2,4
22/06/2019,0,22/06/2019 : 0  hours,26091,0,0,113,0,0,0,0,53,42,5,13
22/06/2019,0,22/06/2019 : 0  hours,31141,0,0,233,0,0,0,0,89,90,1,53
22/06/2019,0,22/06/2019 : 0  hours,34151,0,0,133,0,0,0,0,21,46,2,64
22/06/2019,0,22/06/2019 : 0  hours,31031,0,0,194,0,0,0,0,51,100,4,39
22/06/2019,0,22/06/2019 : 0  hours,26111,0,0,156,0,0,0,0,89,46,2,19
22/06/2019,0,22/06/2019 : 0  hours,32011,0,0,215,0,0,0,0,82,79,1,53
22/06/2019,0,22/06/2019 : 0  hours,11281,0,0,181,0,0,0,0,80,36,0,65
22/06/2019,0,22/06/2019 : 0  hours,23141,0,0,155,0,0,0,0,35,57,0,63
22/06/2019,0,22/06/2019 : 0  hours,35361,0,0,164,0,0,0,0,35,35,1,93
22/06/2019,0,22/06/2019 : 0  hours,20061,0,0,162,0,0,0,0,78,57,2,25
22/06/2019,0,22/06/2019 : 0  hours,37151,0,0,157,0,0,0,0,85,17,2,53
22/06/2019,0,22/06/2019 : 0  hours,31161,0,0,193,0,0,0,0,85,45,2,61
22/06/2019,0,22/06/2019 : 0  hours,21131,0,0,137,0,0,0,0,70,55,4,8
22/06/2019,0,22/06/2019 : 0  hours,28361,0,0,107,0,0,0,0,4,78,0,25
22/06/2019,0,22/06/2019 : 0  hours,23611,0,0,136,0,0,0,0,79,21,2,34
22/06/2019,0,22/06/2019 : 0  hours,32021,0,0,167,0,0,0,0,58,9,2,98
22/06/2019,0,22/06/2019 : 0  hours,39241,0,0,166,0,0,0,0,33,87,5,41
22/06/2019,0,22/06/2019 : 0  hours,18741,0,0,186,0,0,0,0,78,11,5,92
22/06/2019,0,22/06/2019 : 0  hours,30051,0,0,167,0,0,0,0,34,45,3,85
22/06/2019,0,22/06/2019 : 0  hours,12461,0,0,72,0,0,0,0,0,39,3,30
22/06/2019,0,22/06/2019 : 0  hours,19561,0,0,254,0,0,0,0,96,82,0,76
22/06/2019,0,22/06/2019 : 0  hours,39121,0,0,188,0,0,0,0,55,38,0,95
22/06/2019,0,22/06/2019 : 0  hours,10042,0,0,76,0,0,0,0,41,8,2,25
22/06/2019,0,22/06/2019 : 0  hours,12562,0,0,123,0,0,0,0,67,17,4,35
22/06/2019,0,22/06/2019 : 0  hours,26092,0,0,159,0,0,0,0,58,78,2,21
22/06/2019,0,22/06/2019 : 0  hours,31142,0,0,153,0,0,0,0,43,78,2,30
22/06/2019,0,22/06/2019 : 0  hours,34152,0,0,200,0,0,0,0,18,78,5,99
22/06/2019,0,22/06/2019 : 0  hours,31032,0,0,141,0,0,0,0,6,76,0,59
22/06/2019,0,22/06/2019 : 0  hours,26112,0,0,100,0,0,0,0,14,5,0,81
22/06/2019,0,22/06/2019 : 0  hours,32012,0,0,206,0,0,0,0,63,68,2,73
22/06/2019,0,22/06/2019 : 0  hours,11282,0,0,193,0,0,0,0,10,98,4,81
22/06/2019,0,22/06/2019 : 0  hours,23142,0,0,63,0,0,0,0,24,9,3,27
22/06/2019,0,22/06/2019 : 0  hours,35362,0,0,151,0,0,0,0,90,20,2,39
22/06/2019,0,22/06/2019 : 0  hours,20062,0,0,89,0,0,0,0,3,53,3,30
22/06/2019,0,22/06/2019 : 0  hours,37152,0,0,141,0,0,0,0,38,23,0,80
22/06/2019,0,22/06/2019 : 0  hours,31162,0,0,98,0,0,0,0,54,20,5,19
22/06/2019,0,22/06/2019 : 0  hours,21132,0,0,212,0,0,0,0,83,42,3,84
22/06/2019,0,22/06/2019 : 0  hours,28362,0,0,204,0,0,0,0,46,96,5,57
22/06/2019,0,22/06/2019 : 0  hours,23612,0,0,234,0,0,0,0,83,56,1,94
22/06/2019,0,22/06/2019 : 0  hours,32022,0,0,241,0,0,0,0,76,77,5,83
22/06/2019,0,22/06/2019 : 0  hours,39242,0,0,160,0,0,0,0,22,80,2,56
22/06/2019,0,22/06/2019 : 0  hours,18742,0,0,89,0,0,0,0,12,32,2,43
22/06/2019,0,22/06/2019 : 0  hours,30052,0,0,144,0,0,0,0,66,36,3,39
22/06/2019,0,22/06/2019 : 0  hours,12462,0,0,94,0,0,0,0,41,22,5,26
22/06/2019,0,22/06/2019 : 0  hours,19562,0,0,176,0,0,0,0,54,28,2,92
22/06/2019,0,22/06/2019 : 0  hours,39122,0,0,105,0,0,0,0,13,13,3,76
22/06/2019,0,22/06/2019 : 0  hours,10043,0,0,95,0,0,0,0,28,23,4,40
22/06/2019,0,22/06/2019 : 0  hours,12563,0,0,170,0,0,0,0,70,25,5,70
22/06/2019,0,22/06/2019 : 0  hours,26093,0,0,96,0,0,0,0,9,11,3,73
22/06/2019,0,22/06/2019 : 0  hours,31143,0,0,279,0,0,0,0,99,97,2,81
22/06/2019,0,22/06/2019 : 0  hours,34153,0,0,99,0,0,0,0,3,8,4,84
22/06/2019,0,22/06/2019 : 0  hours,31033,0,0,201,0,0,0,0,72,48,2,79
22/06/2019,0,22/06/2019 : 0  hours,26113,0,0,106,0,0,0,0,66,11,5,24
22/06/2019,0,22/06/2019 : 0  hours,32013,0,0,100,0,0,0,0,26,41,4,29
22/06/2019,0,22/06/2019 : 0  hours,11283,0,0,174,0,0,0,0,91,71,5,7
22/06/2019,0,22/06/2019 : 0  hours,23143,0,0,205,0,0,0,0,47,82,3,73
22/06/2019,0,22/06/2019 : 0  hours,35363,0,0,150,0,0,0,0,82,16,3,49
22/06/2019,0,22/06/2019 : 0  hours,20063,0,0,215,0,0,0,0,92,80,3,40
22/06/2019,0,22/06/2019 : 0  hours,37153,0,0,136,0,0,0,0,23,12,4,97
22/06/2019,0,22/06/2019 : 0  hours,31163,0,0,144,0,0,0,0,11,99,5,29
22/06/2019,0,22/06/2019 : 0  hours,21133,0,0,124,0,0,0,0,2,63,1,58
22/06/2019,0,22/06/2019 : 0  hours,28363,0,0,73,0,0,0,0,4,15,2,52
22/06/2019,0,22/06/2019 : 0  hours,23613,0,0,152,0,0,0,0,21,28,5,98
22/06/2019,0,22/06/2019 : 0  hours,32023,0,0,71,0,0,0,0,9,34,0,28
22/06/2019,0,22/06/2019 : 0  hours,39243,0,0,183,0,0,0,0,36,75,0,72
22/06/2019,0,22/06/2019 : 0  hours,18743,0,0,119,0,0,0,0,96,20,1,2
22/06/2019,0,22/06/2019 : 0  hours,30053,0,0,100,0,0,0,0,13,60,5,22
22/06/2019,0,22/06/2019 : 0  hours,12463,0,0,151,0,0,0,0,59,49,1,42
22/06/2019,0,22/06/2019 : 0  hours,19563,0,0,115,0,0,0,0,4,96,3,12
22/06/2019,0,22/06/2019 : 0  hours,39123,2000,4.2,202,0,0,0,0,52,67,3,80
22/06/2019,1,22/06/2019 : 1  hours,10041,0,0,119,0,0,0,0,94,21,1,3
22/06/2019,1,22/06/2019 : 1  hours,12561,0,0,135,0,0,0,0,35,70,1,13
22/06/2019,1,22/06/2019 : 1  hours,26091,0,0,145,0,0,0,0,68,7,4,66
22/06/2019,1,22/06/2019 : 1  hours,31141,0,0,154,0,0,0,0,46,59,4,45
22/06/2019,1,22/06/2019 : 1  hours,34151,0,0,138,0,0,0,0,40,11,3,84
22/06/2019,1,22/06/2019 : 1  hours,31031,0,0,165,0,0,0,0,58,29,2,76
22/06/2019,1,22/06/2019 : 1  hours,26111,0,0,192,0,0,0,0,95,57,2,38
22/06/2019,1,22/06/2019 : 1  hours,32011,0,0,93,0,0,0,0,48,39,5,1
22/06/2019,1,22/06/2019 : 1  hours,11281,0,0,100,0,0,0,0,25,50,3,22
22/06/2019,1,22/06/2019 : 1  hours,23141,0,0,90,0,0,0,0,12,10,0,68
22/06/2019,1,22/06/2019 : 1  hours,35361,0,0,172,0,0,0,0,63,84,2,23
22/06/2019,1,22/06/2019 : 1  hours,20061,0,0,139,0,0,0,0,62,12,3,62
22/06/2019,1,22/06/2019 : 1  hours,37151,0,0,169,0,0,0,0,100,51,5,13
22/06/2019,1,22/06/2019 : 1  hours,31161,0,0,166,0,0,0,0,62,87,2,15
22/06/2019,1,22/06/2019 : 1  hours,21131,0,0,197,0,0,0,0,78,51,3,65
22/06/2019,1,22/06/2019 : 1  hours,28361,0,0,88,0,0,0,0,45,6,4,33
22/06/2019,1,22/06/2019 : 1  hours,23611,0,0,106,0,0,0,0,37,28,5,36
22/06/2019,1,22/06/2019 : 1  hours,32021,0,0,64,0,0,0,0,18,38,4,4
22/06/2019,1,22/06/2019 : 1  hours,39241,0,0,122,0,0,0,0,33,18,5,66
